,Year,N11,N12,N13,N14,N15,N16,N17,N18,N19,N110,N111,N112,N21,N22,N23,N24,N25,N26,N27,N28,N29,N210,N211,N212,Population,Area,Zone1_n,Zone2_c,Zone3_s
高雄市苓雅區,107,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,169648,8.15,0,0,1
高雄市旗津區,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,28506,1.46,0,0,1
高雄市三民區,107,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,2,0,340913,19.79,0,0,1
高雄市新興區,107,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,51032,1.98,0,0,1
高雄市鹽埕區,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24059,1.42,0,0,1
臺北市大安區,107,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,308843,11.36,1,0,0
臺北市大同區,107,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,127625,5.68,1,0,0
臺北市松山區,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,205702,9.29,1,0,0
臺北市萬華區,107,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,189603,8.85,1,0,0
臺北市信義區,107,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,223406,11.21,1,0,0
臺北市中山區,107,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,229456,13.68,1,0,0
臺北市中正區,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,159000,7.61,1,0,0
臺中市北區,107,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,147557,6.94,0,1,0
臺中市南區,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,125874,6.81,0,1,0
臺中市西區,107,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115698,5.7,0,1,0
臺中市中區,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18514,0.88,0,1,0
新北市板橋區,107,1,0,0,2,2,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,554742,23.14,1,0,0
新北市蘆洲區,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201332,7.44,1,0,0
新北市三重區,107,0,0,0,1,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,385826,16.32,1,0,0
新北市新莊區,107,0,0,0,1,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,417754,19.74,1,0,0
新北市永和區,107,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221098,5.71,1,0,0
新北市中和區,107,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412486,20.14,1,0,0
高雄市苓雅區,108,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,168825,8.15,0,0,1
高雄市旗津區,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28129,1.46,0,0,1
高雄市三民區,108,1,0,0,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,339269,19.79,0,0,1
高雄市新興區,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,51014,1.98,0,0,1
高雄市鹽埕區,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23889,1.42,0,0,1
臺北市大安區,108,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,307631,11.36,1,0,0
臺北市大同區,108,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,126043,5.68,1,0,0
臺北市松山區,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204193,9.29,1,0,0
臺北市萬華區,108,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,187076,8.85,1,0,0
臺北市信義區,108,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,220021,11.21,1,0,0
臺北市中山區,108,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,2,0,1,0,0,0,0,0,0,227387,13.68,1,0,0
臺北市中正區,108,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,158014,7.61,1,0,0
